Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website
S-0218,Chief,,Brif,,"Brif is the first marketplace that provides short summaries of conferences and events and helps students, researchers and business professionals to harness the huge amount of knowledge that events generate worldwide","Education
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Marketplace infrastructure
","Public authorities can help researchers and students to be aware of current trends worldwide and use insights in their project or to shape their career interests better with saving their time, money and keepking their knowledge on track",https://brif.cc/
S-0219,"VR Virtual Store, Training & Education System",VR虛擬商店，培訓和教育系統,Trefle & Co. Limited,,"Our VR Online store and training system is a pioneer VR system that can provide immersive and actual-feeling for users to understand different virtual store and training details.

Due to resources constraints, it is difficult to provide hands-on training for officers/technicians. With our VR education and training solutions, we can provide realistic training experience or shopping experience for education/ business purposes. We can cover the following cases (not limited to):
- Work at height accident
- Fire accident
- Transport accident
- Safety control

For tourism, our VR system can provide virtual shopping experience to let user feel the real shopping experience in distance.

With collection of big data, we can trace user behaviors and analyse data during VR controls. The result reports can be stored on cloud server and to be reviewed through browsers and mobile platform (iOS & Android).","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Augmented Reality
Virtual Reality
","VR system can provide the following training for specific cases with lower costs:
- Work at height accident
- Fire accident
- Transport accident
- Safety control",www.trefle.net
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,,Sibitu Technology (HK) Limited,,"Outsight 3D Spatial Intelligence Platform is a computer vision-based flow and traffic management solution.  The platform makes use of multiple Outsight 3D Semantic Cameras, which have the capabilities of an active infrared 3D Laser, an optional RGB 2D Camera, and an intelligence embedded processing unit, to create a real-time regional live map with all people, vehicles and items in the area of interest. The platform delivers real-time predictive analytics, KPI, alerts and queries for end-user to take the best decisions in response to the event of interest. 

The real-time situation awareness capability assists end-user to visualize real-time footfall, waiting time, individual and aggregated behavior, to spot key events that require attention and interpret long-term trends.  The platform detects and understands the interactions between persons and objects to guide the optimization of any facilities, assets’ usage and usage experience. The security awareness of the platform also provides timely security-related alert and tracking without the need of a visual 2D camera.","City Management
Environment
Law and Security
Population
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mixed Reality
Predictive Analytics
Video Analytics
","Outsight's 3D Spatial Intelligence Platform for flow and traffic management can be used in both the outdoor environments, by mounting onto street lamps, and indoor environment in government office buildings.  The platform monitors the flow of people and vehicles by only using 3D laser sensor. It can track and detect any event and item being interested by end-user for security and flow control measurements.  As 2D visual camera may not be required and most of the detection and video will be processed within the camera itself, our solution can help to reduce the privacy concerns of the general public while achieving the needs of flow and security management required by end-user.",www.outsight.tech
S-0221,AI and IT enhanced learning platform,人工智能與IT增強學習環境,Immersive Education Academy,萬里行教育學院有限公司,"Immersive Education Academy is an education technology company based in Hong Kong. Over the past 8 years we have developed and streamlined a custom built AI and IT enhanced learning management system that is capable of automatically creating personalized content and learning plans for teachers and students. This platform is being used mainly for English learning but it can be used for other subject applications as well. There are three main objectives that we focus on:

- Increased engagement for students
- Personalized learning plans for students
- Reduced workloads for teachers and students

Our company's technology achieves this by collecting large quantities of learning behavior data from students and then identifying key data correlations which are then used to create personalized learning model for students. The recommended plans are provided to the teacher. The expected result is an increase in student learning efficiency and performance outcome. 

This project is in support the government’s Smart City initiative. Specifically, the main policies listed below:

(a) make use of innovation and technology (I&T) to address urban challenges, enhance the effectiveness of city management and improve people’s quality of living as well as Hong Kong’s sustainability, efficiency and safety;
(b) enhance Hong Kong’s attractiveness to global businesses and talents; and
(c) inspire continuous city innovation and sustainable economic development.

Our project has synergy with the above policy directions because our project incorporates the development of AI and IT enhanced technologies that are meant for use in the education sector. The project also aims to use the data that is collected to improve the overall efficiency of education by building individualized learning models which can be used to support teachers and students at different education levels.

Moreover, while current learning subjects using this model are mainly related to English education, the learning platform and model can be expanded adapted to other learning subjects. Within the Smart City initiative, the policies related to Smart People are most relevant as this project can be used to cultivate a learning environment for students that incorporates AI and IT learning tools, and can further support the development of local talent by means of English language learning - further enhancing the cities international reputation and workforce readiness with the multinational companies based in Hong Kong.","Development
Education
Population
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Machine Learning
Natural Language Processing
Predictive Analytics
","As mentioned in the Solution Description section, there is inherent synergy with Hong Kong's Smart City initiative. The objectives of our technology solution is both practical, scalable and multifunctional. 

- Increased engagement for students
- Personalized learning plans for students
- Reduced workloads for teachers and students

These are commonly accepted goals that both the public and the government desire. Hong Kong is focusing on driving innovation in order to achieve better and more efficient learning outcomes. Our solution does not replace the traditional method of learning but improves it by creating a non intrusive blended model of learning. Therefore the risk is low.",www.iedacademy.com
S-0222,Agorize Innovation Sourcing Platform,,Agorize Asia,,"Agorize is capable of providing a comprehensive service that can supply both spot on business solutions and expansion of the innovator community. We assist in connecting the government to some of the best talents/innovators/IT profiles from all over the world based on rigorous judging criteria, introducing our start-up ecosystem and existent student innovators community, and launching the software platform that creates an online space for interested parties to easily facilitate to accomplish a two-sided interaction between the government and the talents/startups/innovators. We can help to set up specifically multi-themed, problem solving challenges which would allow the government to raise deeper awareness of the problem areas to the public and acquire diversified and innovative solutions that can actually be implemented from intellects all over the world.","City Management
Climate and Weather
Commerce and Industry
Development
Environment
Finance
Food
Health
Social Welfare
Transport
","software platform that assist to locate all the latest technologies and solutions
","Slingshot 2019 was a challenge aimed to boost networks between startups from all over the world and the major investors/corporations. This challenge was a huge success because the startups were able to have their innovative tech/business ideas gain more exposure to the public's eye and the investors and big corporations were able to discover hidden gems that they would've never came across if it wasn't for this Slingshot event. Usually, the business solutions that our clients receive from our participants exceed their expectations of quality.  Execution of submitted business solutions are highly possible as these ideas are strategic enough to build upon and be implemented in the real world. Actually, Agorize is very excited to see our previous clients synergize with the challenge winners and pioneer their collaborative solutions in the future. Furthermore, by launching a challenge with Agorize, we are guaranteeing not only the smooth unfolding of the challenge but also the substantial PR and marketing efforts to attract talents. This can really help raise higher awareness to the society's citizens about the current problems that the public is facing. For our most recent challenge called the Resilient Hong Kong Challenge, we partnered up with South China Morning Post, Cyberport, and STP to release press and market our platforms.",www.agorize.com
S-0223,OceanX Share,,Active e-Solution Ltd,毅达讯数码方案有限公司,"OceanX Share is the best way to share documents to internal and external users securely. 

Companies sharing documents through email are being threaded by data leakage. Email is transmitted through internet, captured and scanned by various third parties. Email information can be stolen by hackers and companies may lost credibility, facing fines and other legal consequences.  

Instead of sharing documents simply through email, a secure document sharing system can help you to keep your data confidential, avoid lost of data and compliance with regulations, such as the Personal Data (Privacy) Ordinance and GDPR.

OceanX Share controls access to shared documents with password control, view / print / download control, expiry date of the shared documents and control how many times a shared document to be access. It has Share History which allows users to know when and how a shared document is being access. Documents are stored in a secure link, users can send the link instead of whole document to others by email.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
team collaboration
","Cloud Computing
Mobile Technologies
","Use Cases of OceanX Share

•	Directly Share Files from OceanX ECM
-	 Share, edit and collaborate documents in one single interface.

•	Share Documents by Email through Outlook
-	Tightly integrated with Microsoft Outlook, documents can be shared as a secure link and send out directly from Outlook.

•	Responsive Web Interface 
-	OceanX Share is responsive web-based interface fits for all devices. You can easily manage your documents in one single responsive interface. 

-	Securely share documents and collaborate with your customers or partners from your mobile phone or tablet.

•	Meet Compliance
-	According to governance policies, access control and audit trails must be retained in system. OceanX Share provides access control and audit trails which helps you to meet compliance.
- 	Matter data on shared documents can be export to other system for records. (e.g. ERP, SAP, ERKS etc)

•	Access Control: 
Different levels of staff can have different levels of access control for the shared documents.

•	Audit Trail: 
Provides detailed record that lists every edit and access record of the shared documents.",https://www.active.com.hk/zh-hans/
S-0224,OceanX Workflow,,Active e-Solution Ltd,Active e-Solution Ltd,"OceanX workflow is the management tools for document processes automation on daily tasks within an organization from the beginning to the completions of the processes; Graphical Workflow Designer for users to management their workflow process easily. 

Actions button can be defined in each step easily, reusable workflow templates that help users avoid common mistakes. Fully control the Information to be distributed in each step. Profile Information can be set as routing criteria for each workflow.

Cooperated with OceanX ECM, events can be triggered when document is created, modified or updated or simply started by user manually. Multiple documents can be submitted and control within a workflow, documents versioning are fully managed within a Workflow environment. 

Automatic steps in a workflow can be easy integrated with other system by e.g. sending email, update external database, or export matter data, etc.

A user friendly interface allow user to defined group tasks and review the workflow lifecycle.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
Policies Compliance
","Cloud Computing
Mobile Technologies
","OceanX workflow can be widely used in all kind cases with documents or information related to projects or cases, from internal document approval to contract renewal, or leave application. 
Convert paper process in to automatic process.
Integrate with other system e.g. Document Management system, Record Management system, ERP, Finance, Contract Management, ERKS, etc.

• Accounting - Expense reports, invoices, purchase orders
• Customer Service - Order forms, warranty claims, service requests, consultation forms
• Human Resources - Employment Applications, performance evaluations, vacation requests
• Marketing - Surveys, Event Registrations, Product E ons, Research test forms
• Government - License Applications, Census Forms, Tax Forms, vehicle registrations, Business and Building Permits
• Education - Student Applications, Test Results, Financial Aid
• Healthcare - Claim Forms, Prescription Orders, Patient Encounter Forms
• Production - Work Orders, Requisition Forms, shipping, Receiving Documents
• Finance - Loan Applications, Credit Reports, New Accounts",https://www.active.com.hk/
S-0225,DocAnalyzer - Document Review Solution,,Gekko Lab,,"DocAnalyzer is a solution which automates the process of unstructured data extraction and verification. DocAnalyzer speeds up data mining process and enables sophisticated document review. This enhances users' capability to quickly collect data to find insights from a large amount of unstructured data. 

DocAnalyzer is unique with the following features: (1) context extraction for values, entities, text, paragraphs and percentage, (2) machine-reading extraction without coding required, (3) an intuitive validation interface for human intervention. DocAnalyzer also comes with the data visualization interface, where users can track real-time progress status and follow up. The solution is also built for integration with other RPA, CRM and ERP systems.","City Management
Commerce and Industry
Education
Employment and Labour
Finance
Law and Security
","Artificial Intelligence (AI)
Data Analytics
Machine Learning
Natural Language Processing
Predictive Analytics
Robotic Process Automation
","1. Document review - Verify documents such as contracts against user-defined standards.
2. Data capture - Capture key content from large amount of documents at scale and low cost. 
3. Process automation - Automate any processes involving unstructured data extraction.
4. Content intelligence - Answer critical questions from lengthy documents such as clauses and rules for decision making",www.gekko.ai
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",,Skylab Mobilesystems Limited,,The Sky Drone 'Autonomous Drone Solution' allows fully automated aerial missions with no pilot required. It provides instant aerial intelligence via the 4G/5G network and can be controlled from anywhere using a secure web interface.,"City Management
Commerce and Industry
Environment
Infrastructure
Law and Security
Transport
","Artificial Intelligence (AI)
Cloud Computing
Deep Learning
Internet of Things (IoT)
Machine Learning
Predictive Analytics
Robotic Process Automation
Video Analytics
","Applications:
- Inspections
- Surveying & Mapping
- Security & Emergency Response",https://www.skydrone.aero
S-0227,Intelligent liquid crystal dimming film,智能液晶調光膜,"TAI CHEUNG ELECTRONIC CO., LTD",太昌电业有限公司,"Smart LCD dimming film is a kind of liquid crystal display functional film, which is coated with AB glue on one side of PDLC dimming film and attached to the glass surface to realize the function of glass penetration and privacy protection of the dimming film:
High light transmittance, above 84% transmittance;
Controlled by the power switch to play the role of curtains, covering privacy;
Block strong light and IR through heat insulation and save energy;
Combined with a projector, it can be used as a projection screen.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Internet of Things (IoT)
Radio Frequency Identification (RFID)
","Business application
Example 1: Application of projection screen.
Example 2: Office area, meeting room, monitoring room partition application.

Residential application
Example 1: External setting, adding dimming glass to the balcony bay window.
Example 2: The indoor space is divided, and the room is separated by dimming glass to improve the spatial layout.
Example 3: Used as a small home theater screen, effectively combining the screen and screen.
Example 4. On the premise of selecting safe voltage, use dimming glass as bathroom and sanitary partition, which not only makes the layout bright, but also protects privacy.

Medical institution application
It can replace curtains and play the function of partition and privacy protection. It is solid and safe, soundproof and eliminates impurities, and has the advantages of environmental protection, cleaning and pollution-free, which can remove concerns and psychological pressure for medical workers and patients.

Anti-theft application for museums, exhibition halls, shopping malls and banks
Maintaining a transparent state during normal business applications, once encountered an emergency, remote control can be used to instantly reach a fuzzy state, so that criminals lose their targets, and the personal and property safety can be guaranteed to the greatest extent.

Energy saving and consumption reduction, efficient and flexible control, improve work efficiency, enhance office comfort and protect private areas",
S-0228,eClass Corporate Learning Management System (LMS),,BroadLearning Education (Asia) Ltd,,"eClass Corporate LMS facilitates swift adoption, effective implementation and throughout management of online learning and training. It enables corporates and organizations to create and manage course content, utilize standardized courseware, monitor progress and assess performance for effective staff training and development.","Development
Education
Employment and Labour
","Cloud Computing
Data Analytics
Mobile Technologies
","eClass Corporate LMS facilitates government bureaus, departments and public services to enhance their staff development efficiency. With a centralised portal for staff profiles and training content, bureaus and departments could effectively implement and monitor the progress of staff training. The app extension of the LMS works on both Android and IOS devices, allowing staff to undertake training anytime anywhere with ease. The LMS's various reports and statistics allow administrators and HR personnels to analyse staff performance and learning patterns.

Transforming existing training materials into digital formats may incur short-term costs to bureaus and departments. However, with the scalability and flexibility eClass Corporate LMS provides, bureaus and departments can adopt eTraining in a pace and scale that align with their organisational needs. Blended training with online and face-2-face components is also streamlined by adopting eClass Corporate LMS.",eclass.com.hk
S-0229,SonoWatermark,SonoWatermark,SonoBeacon GmbH,SonoBeacon GmbH,"We make sound visible!
Our Watermarking-Technology catch the consumers' attention at the point of interest (POI).
SonoWatermark enable: 
1. direct sales via smartphone during watching TV
2. lead generation for advertisements
3. Live TV Show Voting","Broadcasting
","Mobile Technologies
Watermarking by SonoBeacon
","With SonoWatermark you are able to send out unhearable signals over every speaker to every smartphone. Through the audio from the speaker and a carrier app on the smartphone you can trigger every action you want. 
This allows a totally new way of watching and interacting in TV or using smartphones in speaker surroundings.",www.sonobeacon.com
S-0230,STEMHUB Education Platform,創意工程教育平台,STEMHUB Holdings Limited,創意工程股份有限公司,"STEMHub is an online educational platform for tutorial operation and academic resource management. User can access a marketplace liked module to search / share / publish various of academic material from worldwide academic resource web pages and systems. All published or shared academic contents and materials are being well managed with systematic classification and detailed categorization. It would be a workspace that provides users a convenient, consolidated and consistent environment to search, to learn, to practice and to conduct examinations there. At the same time, all their actions and behaviors would be logged in the system for future analysis. After few months periods, an educational consultant AI would be trained by this captured data through the system, with integration of the worldwide big-data, this AI should be well-trained to provide, to advise and to plan users' learning path in terms of inspiration of careers, interests, social trendies and etc. After well built up of the big-data warehouse, the solution would be further extended to employment and recruitment areas.","Education
Employment and Labour
Population
Social Welfare
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Machine Learning
","Each member of the society or the organization which used this solution could be advised to learn the most valuable subjects and be consulted to develop their strength. For example, if this solution is used by an enterprise, the staffs would be directed to grow up towards its business goal together with employees' strengths and interests. Members within the society can also share their learning experience, academic notes, comments, experimental results, practical reports, thesis and recommended online resources. Teachers and students can work on this platform with well developed workflow, teaching and studying planning. All users' experience, actions and behaviours should be logged and recorded for future analysis too. Since members' learning experience, strength developments, skills and knowledge of the society/organization are being captured, employers/positions and employees might be matched effectively.",
S-0231,AI Information push service management system,,Stemhub Holdings Limited,創意工程控股有限公司,"STEMHub is a Hong Kong Science Park Incu-App company, we are professional in AI, Internet of Things, Deep Learning and 5G technologies, applying to Smart city and Smart home devices. Our service heritage combined with our strategic business, innovation consulting, design thinking, and physical-digital capabilities provide social facilitation and real business value to our customers through human-centric innovation. 

To deliver appropriate types of information to individuals, below is our proposed solution: 
We can use AI and machine learning to analyze each individual needs on the property information. 

To push the information to individuals, there are few technologies we can choose or combine: 
1) Mobile push - Create delightful mobile experiences with push notifications that drive engagement and conversions. 
2) Web push - Engage off-site users across web and mobile web with actionable web push notifications. 
3) SMS push - Engage users offline with personalized and actionable messages with SMS notification 
4) Email – Engage users with contextual emails at the right moments 
5) In-app messages – Target users with contextual in-app messages 
6) Reports – System will analyze users’ response and provide the reports for analysis.","Broadcasting
Development
","Artificial Intelligence (AI)
Data Analytics
Machine Learning
",To provide an electronic service to push property information to public.  The department can deliver appropriate types of information to individuals and public.,www.stemhub.com
S-0232,"""Smart"" Car Park Management System",,Stemhub Holdings Limited,創意工程控股有限公司,"STEMHub is a HKSTP Incu-App company, we are professional in AI, Internet of Things, Deep Learning and 5G technologies, applying to Smart city and Smart home devices. Our service heritage combined with our strategic business, innovation consulting, design thinking, and physical-digital capabilities provide social facilitation and real business value to our customers through human-centric innovation. 

Below is our proposed solution for the “Smart” Car Park Management System: 
1) Allow the drivers to make pre-booking through mobile APP/website. A cloud based Car Park Management System to be implemented. It is a web and mobile application to allow drivers to make pre-booking through Mobile App or website. The functions are parking space reservation, payment, car search and other functions, etc. 
2) Check the real-time vacant parking spaces through mobile APP/website. NB- IoT devices will be installed to monitor and detect vehicles occupancy in real time, allowing car park to increase utilization and improve efficiency. Users can query the number of occupied or idled car spaces via the mobile app or website. 
3) Facilitate the public to find parking spaces. Our intelligent parking IoT system can realize data sharing by using network technology, and can provide real-time feedback on the number of cars and parking lot information, and guide the driver to stop and pick up the car. 
4) Navigate the driver to locate his/her own vehicle in the car park. AIoT and OCR technologies would also be used for recognizing vehicles model and their number plates, in order to identify the vehicles and help drivers to find their cars. 
5) Adopt new payment means such as QR code payment, NFC payment, etc. For the traditional parking management method that uses manual cash charges. Our new charging system of the intelligent parking loT is undoubtedly powerful. Intelligent parking IoT generally adopts IC card charging system, such as QR Code payment, NFC Payment, etc. Drivers can make payment via website, Mobile Apps, Exit Gate, Parking Machines, etc. In addition, the network video surveillance system can supervises the toll collectors, which can effectively manage financial security.

Apart from above functions, our solution also provide reports for data analysis, such as: 
• Provide sales report, marketing analysis and billing 
• Provide operators visibility on customer behaviour through big-data analytics, enabling them to develop personalised promotions and propose value-added services to increase revenue and customer satisfaction","City Management
Transport
","Data Analytics
Internet of Things (IoT)
Mobile Technologies
Predictive Analytics
","The ""Smart"" Car Park Management System is installed at the public car parks to facilitate the public in finding/using car parking spaces efficiently and conveniently.  The system can also assist in identifying car parking service improvement opportunities in a cost-effective manner.",www.stemhub.com
S-0233,Area monitoring solution using 3D camera with privacy-preserving,具隱私保護的3D鏡頭區域監察解決方案,GNS TECHNOLOGY LIMITED,友成科技有限公司,"3D camera solution using reflected light to extract depth map of object for analysis.

Compared to traditional camera, our application have following advantages:
1. Design for outdoor environment
2. No optical image is captured nor recorded. Only depth map of the object will be recorded, leading to privacy clean solutions
3. Lower cost compared to radar solutions
4. Able to distinguish different objects (types of vehicle, people counting, types of obstructs)
5. Coverage over 60 X 60 square meters with less than 10% dimension error
6. Could measure speed and size of small package or moving objects (i.e. vehicle, trolleys)
7. In measurement mode, it could accurately measure small or large packages dimension (from 10cm to 900cm) and extract 3D model within 1 seconds for recording or further analysis

A 3D camera solution that uses reflected light to extract the depth map of the object for analysis.
Compared with traditional cameras, our application has the following advantages:
1. Outdoor environment design
2. No optical image is recorded. Only record the depth map of the object to provide privacy protection
3. Compared with radar solutions, the cost is lower
4. Ability to distinguish different objects (vehicle types, people counting, obstacle types)
5. The coverage area exceeds 60 X 60 square meters, and the area error is less than 10%
6. It can measure the speed and size of moving objects (such as walking vehicles, trolleys)
7. In the measurement mode, it can accurately measure the size and packaging (from 10cm to 900cm), and extract the 3D model within 1 second for recording or further analysis","City Management
Housing
Population
Transport
","Cloud Computing
Data Analytics
Deep Learning
Machine Learning
Video Analytics
","Working examples in EU for traffic road status monitoring.
PoC examples in local facilities to monitor the passenger.",www.gnstec.com.hk
S-0234,Pixel Eye Vision-Based Fall Detection,,Application Technology Co. Ltd,,"AI can monitor what is happening at the sites. Solutions with surveillance, response, and warning system turn everything the cameras see into valuable information for analysis. It allows prompt response on emergencies and access controls for unsafety areas as well.

• 	Real-time: Able to detect objects in real-time with low latency and high FPS
• 	CCTV camera-based: Can connect to many popular CCTV cameras directly without any extra hardware installation
• 	Privacy protected: Mask Personally identifiable information and will not store those information in the database
• 	Multiple classes: Able to detect different types of objects at once in the same image","City Management
Development
Education
Employment and Labour
Environment
Health
Housing
Population
Social Welfare
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Natural Language Processing
Predictive Analytics
Video Analytics
","Cameras provide very rich information about persons and environments and their presence is becoming more and more important in several everyday environments due to surveillance necessities. Vision-based fall detection systems play a very important role in health care and assistance systems.

Pixel Eye using connected-components extracting the whole body features for combining our database information to detect positions and also falls.",http://pixeleyenow.com/
S-0235,Pixel Eye Safety Helmets Detection,,Application Technology Co. Ltd,,"Considering the large and increasing number of construction projects conducted in the HK, there is a growing need to develop innovative methods to monitor the safety of the workers at construction sites automatically.

We aim to automatically detect the uses of construction helmets (e.g., whether the construction worker wears the helmet or not) by analyzing the construction surveillance images. Based on the collected images, we first detect the object of interest (i.e., construction worker) and analyze whether the worker wears the helmet or not by using computer vision and machine learning techniques.","City Management
Development
Employment and Labour
Environment
Infrastructure
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
Video Analytics
",Imagine you want to monitor a vast construction site or a large factory to see whether people wear their safety gear. Monitoring people 24/7 across a large area is almost impossible with human operators. Our technology can detect whether people were wearing their safety helmets and generate an alert in case they weren’t.,https://pixeleyenow.com/
S-0236,Workflow automation solution,,KBQuest Hong Kong Limited,,"Our workflow automation solution helps you get rid of the inefficient processes, transforming manual, time-consuming tasks into automated processes that require only a few simple clicks in order to maximize time and efficiency. Our solution also pulls data from multiple sources and automatically generates customized documents in your choice of formats: Word, Excel, PowerPoint, and PDF. More importantly, our solution enables you to analyze, optimize, and govern how your workflows are performing, identify patterns, and pinpoint and resolve new bottlenecks to drive process optimization.","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Robotic Process Automation
","Different bureaux and departments of the government receive tons of enquiries from the citizens every day. With the Intelligent Process Automation in our solution, it’s easy to save time and make better use of talent when you automate common Help Desk tasks – it can help assigning tickets to specific employees, tracking response metrics, and even accessing the support portal itself. When you automate and integrate critical information, required information is automatically captured and notifications are sent to keep requests moving along. The system will also automatically assign an owner and a due date and prioritize or escalate overdue tickets. Integrating knowledge bases allows your team to provide faster and more accurate responses to the citizens.",www.kbquest.com
S-0237,V-K V-OS Cloud Solutions,,V-Key Inc.,,"V-OS Cloud Authentication
- Secures remote access to corporate services or Microsoft Office 365
- Simple and quick to integrate
- Able to provide our V-OS App Protection & Smart OTP/PKI Tokens over Cloud as well

1) User launches VPN software on laptop to access corporate network
2) Authentication process starts with user’s inputs of Username & Password (1FA) on laptop,
3) Upon successful verification of 1FA, V-Key App on user’s mobile device will be activated to request for 2FA
4) User will further verify (either facial/fingerprint biometrics or passcode) their identity through the V-Key App
5) When the 2FA is successfully verified, user will be able to access the corporate network","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Mobile Technologies
","- Cloud Solutions reduce costs for On-Premise deployments
- It is secure yet easy to deploy
- Updates/upgrades done Over-The-Air",https://www.v-key.com/products/v-os-cloud-solutions/
S-0238,Rice Robotics,飯糰機器人,Master Concept (Hong Kong) Limited,思想科技(香港)有限公司,"Autonomous Delivery Robot, Autonomous Disinfection Robot, Fleet Management Platform.
Autonomous indoor distribution robot, autonomous indoor disinfection robot, centralized intelligent robot cloud monitoring platform.","City Management
Commerce and Industry
Education
Employment and Labour
Environment
Food
Health
Housing
Recreation and Culture
Social Welfare
Transport
","robotics
","1. Autonomous Delivery Robot
COVID-19 has catalysed long-lasting changes to behaviour. Rice robots can be sterilised after every delivery and reduce person to person contact.

2. Autonomous Disinfection Robot
Jasmine Robotics goes to the deisgnated area and start vaporizing. It can fill up with 10L of
antibacteria fluid with 7 hours of run time. After the mission, it travels back to the charger dock.

Fleet Management Platform
Mission critical software infrastructure to enable the next generation of Smart Buildings to develop, operate, and scale robots and robotic fleets with the simplest integration.
- FLEET MONITORING: Components are automatically introspected in our Mission Control dashboard to create useful visualizations of your robot's data with full customization tuned specifically for developers, operators, or managers.
- TELEOP: Intuitive UI controls to drive and operate your robots on desktop and mobile. Easily add custom buttons to the interface for repeatable tasks.
- FLEET MANAGEMENT: Organize your robots by fleet or device type and easily see their status around the world. Monitor alerts, uptime, and other key elements across fleets and drill down to an individual robot or component.
- FULL DATA EXPORT API: Instant API access to all your robot's data for aggregating statistics, exporting data, monitoring systems and integrating with custom endpoints.",https://www.hkmci.com/
S-0239,InterOps Accelerator,,Securli Limited,,"We developed our InterOps Accelerator (iA) to be a PaaS (Platform as a Service) ecosystem with the intention of automating processes to achieve reductions of MTTD & MTTR (Mean Time to Detection & Resolution,) gain efficiencies, and close the gap between IT operations & cybersecurity.  All with a goal of SecOps Automation.  

The challenges currently in Security Operations are 1) a shortage in skilled resources, 2) an increasing volume of threats and impossibility of relying upon manual operations, 3) a lack of integrated solutions (or Single Pane of Glass, “SPoG”) to visualize analyzed Big Data, automate in the resolution process to reduce cyber risks as rapidly as they are increasing.  We refer to the way we address the 3rd problem as AI2 or Artificial & Augmented Intelligence.

This ecosystem will provide preventative intelligence for any organization to address identified vulnerabilities and deploy tested remediations based upon community input or our PaaS validation to execute the resolution process with or without iA.  Or Preventative Intelligence can be accessed by subscription or without charge to reduce the MTTD & MTTR.","City Management
Commerce and Industry
Development
Education
Employment and Labour
Finance
Infrastructure
Law and Security
Transport
","Artificial Intelligence (AI)
Blockchain
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Predictive Analytics
","The ecosystem and its preventive intelligence will benefit any organization that needs to reduce the cyberattack risk by participation, with or without a fee.  The correlated, tested, and weighted intelligence with remediation recommendations are for those organizations to access and in return to contribute their feedback to improve the accuracy and broaden the knowledge for all.",www.securli.com
S-0240,Multilingual Voice Assistant,多語種語音助手,Smoothweb Technologies Limited,,"Mobile App with multilingual voice and text capability for speakers of any language. Make requests, ask for information, change schedule provide content on voice request. Instant reply to intents comes back and if in multilingual mode, request is sent out, translated and sent back in speaker's language. Cloud management system logs all requests (in any language). See bottlenecks, manage realtime communication, take action on popular requests. Use cases: facilities management, hospitality, hotels, tourism, events, exhibitions, healthcare, banking, insurance, government information (COVID-19)","City Management
Commerce and Industry
Education
Employment and Labour
Finance
Health
Law and Security
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Natural Language Processing
Robotic Process Automation
","Government departments can each have a voice assistant and chatbot which provides information in multiple languages. The App is triggered by voice and/or text can provide simple information in realtime, answers to requests, booking for appointments, deliver documents to a mobile device.
Benefits: Reduce labour cost for servicing information and enhance and/or take over the job of a call centre. Provide realtime updates to information on the cloud. Analyses which information is most popular.
Reduced cost and time to set up compared to other alternative voice solutions: Our model uses elastic intent modelling so we only need to train a single intent and the model replicates all variations.  Single language training model replicated to all other languages so no need to pay for development for each language added.
Cost: setup fee for identifying and modelling the base intents. Monthly license fee to cover the requests to the cloud server.  Cloud deployment - No capex needed.",https://smoothweb.com
